0 0 0 ..GBBB..GCCC.AAHIJ...HIJ.DDH.KEEEFFK
6 6 0 BBB...CCCH..AAGH.J..GHIJ.DD.IKEEEFFK G98 B97 C97 A99 H99 I99
6 6 0 BBB.I.CCC.I.AAGH.J..GH.JDD.H.KEEEFFK G98 B97 C97 A99 I98 D99
6 6 0 .BBB....CCCJAAGHIJ..GHI.DD.H.KEEEFFK G98 B98 C99 A99 J99 D99
6 6 0 ..BBB...CCC..AAHIJ..GHIJDDGH.KEEEFFK G97 B99 C99 A98 D99
6 6 0 BBB...CCC.I.AAGHIJ..GH.JDD.H.KEEEFFK G98 B97 C97 A99 I99 D99
6 6 0 ...BBBCCCHI.AA.HIJ..GH.JDDG..KEEEFFK G97 C97 A99 H99 I99 D99
6 6 0 BBB..J.CCC.JAAGHI...GHI.DD.H.KEEEFFK G98 B97 C98 A99 J98 D99
6 6 0 ..BBB..CCCI.AAGHIJ..GH.JDD.H.KEEEFFK G98 B99 C98 A99 I99 D99
6 6 0 BBB...CCC..JAAGH.J..GHI..DDHIKEEEFFK G98 B97 C97 A99 I99 J99
6 6 0 BBBH..CCCH..AAGHIJ..G.IJDD...KEEEFFK G98 B97 C97 A99 H98 D99
6 6 0 BBB.I.CCC.IJAAGH.J..GH...DDH.KEEEFFK G98 B97 C97 A99 I98 J99
6 6 0 BBB...CCC.IJAAGHIJ..GH...DDH.KEEEFFK G98 B97 C97 A99 I99 J99
6 6 0 BBB...CCCH..AAGHIJ..GHIJDD...KEEEFFK G98 B97 C97 A99 H99 D99
6 6 0 ...BBB.CCC.JAAGHIJ..GHIK.DDH.KEEE.FF G98 C98 A99 J99 K99 F99
6 6 0 BBBH..CCCH.JAAGHIJ..G.I..DD..KEEEFFK G98 B97 C97 A99 H98 J99
6 6 0 .BBB....CCC..AAHIJ..GHIJDDGH.KEEEFFK G97 B98 C99 A98 D99
6 6 0 .BBB.JCCC..JAAGHIK..GHIK.DDH..EEEFF. G98 B98 C97 A99 J98 K98
6 6 0 BBB.....CCC..AAHIJ..GHIJDDGH.KEEEFFK G97 B97 C99 A98 D99
6 6 0 ..BBBJ..CCCJAAGH....GHI..DDHIKEEEFFK G98 B99 C99 A99 I99 J98
6 6 0 BBB...CCC....AAHIJ..GHIJDDGH.KEEEFFK G97 B97 C97 A98 D99
6 6 0 BBB..JCCC..JAA.HI...GHI.DDGH.KEEEFFK G97 B97 C97 A99 J98 D99
6 6 0 ...BBBCCC..JAAGHIJ..GHIKDD.H.KEEEFF. G98 C97 A99 J99 D99 K99
6 6 0 ..BBB...CCCJAAGH.J..GHI..DDHIKEEEFFK G98 B99 C99 A99 I99 J99
6 6 0 ..BBB....CCC.AAH.J..GHIJDDGHIKEEEFFK G97 B99 A98 I99 D99
6 6 0 .BBB.J..CCCJAAGH....GHI..DDHIKEEEFFK G98 B98 C99 A99 I99 J98
6 6 0 ..BBBJCCC..JAAGHI...GHI.DD.H.KEEEFFK G98 B99 C97 A99 J98 D99
6 6 0 .BBB....CCCJAAGH.J..GHI..DDHIKEEEFFK G98 B98 C99 A99 I99 J99
